iospeed-baremetal-retest
ARMv8 Cortex-A72 testing with a Raspberry Pi 4 Model B Rev 1.5 and BCM2708 on Debian 12 via the Phoronix Test Suite.

 ,,"Retest for baremetal config due to lack o read 2mb."
Processor,,ARMv8 Cortex-A72 @ 1.80GHz (4 Cores)
Motherboard,,Raspberry Pi 4 Model B Rev 1.5
Chipset,,Broadcom BCM2711
Memory,,4096MB
Disk,,64GB SC64G
Graphics,,BCM2708
OS,,Debian 12
Kernel,,6.12.20+rpt-rpi-v8 (aarch64)
Compiler,,GCC 12.2.0
File-System,,ext4
Screen Resolution,,1920x1080

 ,,"Retest for baremetal config due to lack o read 2mb."
"IOzone - Record Size: 2MB - File Size: 512MB - Disk Test: Read Performance (MB/s)",HIB,1223.78
"IOzone - Record Size: 4Kb - File Size: 512MB - Disk Test: Read Performance (MB/s)",HIB,1639.45
"IOzone - Record Size: 2MB - File Size: 512MB - Disk Test: Write Performance (MB/s)",HIB,22.62
"IOzone - Record Size: 4Kb - File Size: 512MB - Disk Test: Write Performance (MB/s)",HIB,0.56

