2025-05-31-2008
Docker testing on Debian GNU/Linux 12 via the Phoronix Test Suite.

 ,,"ARMv8 Cortex-A72"
Processor,,ARMv8 Cortex-A72 @ 1.80GHz (4 Cores)
Memory,,4096MB
Disk,,64GB SC64G
Graphics,,BCM2708
OS,,Debian GNU/Linux 12
Kernel,,6.12.20+rpt-rpi-v8 (aarch64)
Compiler,,GCC 12.2.0
File-System,,overlayfs
Screen Resolution,,1920x1080
System Layer,,Docker

 ,,"ARMv8 Cortex-A72"
"7-Zip Compression - Test: Compression Rating (MIPS)",HIB,4645
"7-Zip Compression - Test: Decompression Rating (MIPS)",HIB,7585

