2025-06-02-0203
ARMv8 Cortex-A72 testing on Debian GNU/Linux 12 via the Phoronix Test Suite.

 ,,"2025-06-02 02:03"
Processor,,ARMv8 Cortex-A72 @ 1.80GHz (4 Cores)
Memory,,4096MB
Disk,,64GB SC64G
Graphics,,BCM2708
OS,,Debian GNU/Linux 12
Kernel,,6.12.20+rpt-rpi-v8 (aarch64)
Compiler,,GCC 12.2.0
File-System,,overlayfs
Screen Resolution,,1920x1080

 ,,"2025-06-02 02:03"
"RAMspeed SMP - Type: Average - Benchmark: Integer (MB/s)",HIB,3390.91
"RAMspeed SMP - Type: Average - Benchmark: Floating Point (MB/s)",HIB,3572.21

